District,date,Region,urb_rural,hhsize,ReduceMealsPerDay,Education,SkipAMeal,RanOutOfFood,HungryDidntEat,DidntEatWholeDay,IncomeDecline,WorkHHFarm,WorkActivityLastWeek,NotEnoughFood,WorkedLastWeek,WorkedB4COVID
Mangochi,2017,3,1.9582245,4.033942558746737,1.4908617,1.5081967,1.8955613,1.7127937,1.8903394,1.5013055,.92950392,1.148825,3.2838984,1.1462141,1.3838121,
Mangochi,2019,3,1.9162303,4.50261780104712,1.6596859,1.4301994,1.8141361,1.7486911,1.8219895,1.4816754,.76178008,1.104712,3.3544669,,1.0916231,
Mangochi,62020,3,1.9655173,4.908045977011494,,2.7816093,1.2068965,1.5287356,1.3678161,1.9310344,.56321841,1.0930233,,,1.3103448,1.7777778
Mangochi,72020,103.93359,1.9390244,4.963414634146342,,2.7560976,1.1707317,1.402439,1.3780488,1.9634147,.42682928,1.1111112,,,1.6666666,1.6666666
Mangochi,82020,104.32941,1.9285715,4.988095238095238,,2.7976191,1.2023809,1.5476191,1.5476191,1.9761904,.34523809,1.0909091,,,1.6666666,1.75
Machinga,2017,3,1.9583334,4.575520833333333,2.90625,1.4038461,1.9322916,1.9348959,1.921875,1.6302084,.9609375,1.0703125,3.2276924,1.078125,1.1536459,
Machinga,2019,3,1.9518414,4.308781869688385,1.9745042,1.4604106,1.8951842,1.8838527,1.8810198,1.6458924,.8385269,1.0878187,3.4927535,,1.2181304,
Machinga,62020,3,1.9848485,4.424242424242424,,2.1818182,1.1969697,1.5454545,1.3484849,1.939394,.66666669,1.0555556,,,1.3333334,1.6363636
Machinga,72020,103.52308,1.9523809,4.53968253968254,,2.1904762,1.1428572,1.4126984,1.3809524,1.9841269,.46031746,1.0526316,,,1.25,2
Machinga,82020,105.09375,1.9523809,4.523809523809524,,2.1904762,1.2222222,1.6190476,1.6031746,2,.34920636,1.0526316,,,1.5,1
Zomba Non-City,2017,3,2,4.330729166666667,2.9609375,1.4095745,1.9427084,1.9322916,1.9270834,1.6770834,.97916669,1.0677084,3.1202345,1.1302084,1.1119791,
Zomba Non-City,2019,3,2,4.497159090909091,2.3892045,1.8362573,1.8892045,1.8693181,1.8522727,1.6164773,.78409094,1.0880681,3.0707071,,1.15625,
Zomba Non-City,62020,3,1.9565217,4.521739130434782,,1.942029,1.3623189,1.5072464,1.4927536,1.6811594,.79710144,1.2142857,,,1.3333334,1.6086956
Zomba Non-City,72020,104.45049,1.984375,4.6875,,1.984375,1.359375,1.484375,1.4375,1.71875,.578125,1.25,,,1.3333334,2
Zomba Non-City,82020,109.18135,1.983871,4.725806451612903,,1.9193548,1.3770492,1.516129,1.4516129,1.7580645,.69354838,1.2203389,,,1.2857143,1.5
Chiradzulu,2017,3,1.9582245,3.814621409921671,1.5691906,1.5264624,1.8376963,1.8062828,1.8062828,1.6230366,.65274149,1.0574412,3.0517242,1.2819843,1.2428198,
Chiradzulu,2019,3,2,4.119318181818182,2.1818182,1.9792285,1.8039773,1.7982955,1.7585227,1.5852273,.70170456,1.1107955,3.0398774,,1.0738636,
Chiradzulu,62020,3,1.9333333,4.6,,3.3,1.3,1.5333333,1.4333333,1.6,.63333333,1.3043479,,,1.1666666,1.2
Chiradzulu,72020,103.11236,1.9655173,4.793103448275862,,3.3793104,1.4482758,1.6206896,1.5517242,1.8275862,.58620691,1.3333334,,,1,
Chiradzulu,82020,104.25,1.9655173,4.689655172413793,,3.3793104,1.3448275,1.4827586,1.4827586,1.7586207,.41379312,1.3333334,,,1.25,1.5
Blantyre,2017,3,2,3.857894736842105,1.3131579,1.7884616,1.7631578,1.7789474,1.7394737,1.6052631,.68684208,1.1736842,2.9113925,1.4,1.168421,
Blantyre,2019,3,2,3.910326086956522,1.6467391,2.1797752,1.8016304,1.7255435,1.7690217,1.4266304,.48369566,1.2309783,3.0333333,,1.1032609,
Blantyre,62020,3,1.5,4.814814814814815,,3.5370371,1.3703704,1.4074074,1.462963,1.6111112,.68518519,1.4255319,,,1.2407408,1.3846154
Blantyre,72020,102.61491,1.4339622,4.981132075471698,,3.5849056,1.509434,1.6037736,1.509434,1.7924528,.56603771,1.4339622,,,1.1428572,1
Blantyre,82020,102,1.4444444,4.981481481481482,,3.5370371,1.4444444,1.4814814,1.537037,1.7777778,.62962961,1.4482758,,,1.1428572,1.5
Mwanza,2017,3,1.9157895,4.336842105263158,1.1973684,1.5297297,1.7842106,1.7526315,1.7210526,1.4763157,.7157895,1.15,2.9655173,1.2894737,1.1605263,
Mwanza,2019,3,1.8996866,4.338557993730408,1.9122257,1.7866242,1.7962383,1.768025,1.7868339,1.4451411,.68338555,1.1316614,2.9200001,,1.0595611,
Mwanza,62020,3,1.6799999,5.16,,2.3199999,1.4400001,1.48,1.4400001,1.64,.51999998,1.2272727,,,1.3200001,1.5
Mwanza,72020,103.33784,1.5833334,5.25,,2.0833333,1.375,1.75,1.4583334,1.75,.45833334,1.2173913,,,1.5,1.5
Mwanza,82020,107.57746,1.5652174,5.347826086956522,,2.0869565,1.3913044,1.6521739,1.5652174,1.7391304,.47826087,1.2272727,,,,
Thyolo,2017,3,2,3.860526315789474,1.7026316,1.5181059,1.8289474,1.7763158,1.7657895,1.581579,.65263158,1.1315789,2.7261147,1.3052632,1.1736842,
Thyolo,2019,3,1.9583334,4.104166666666667,1.4427084,1.6524065,1.8307291,1.8229166,1.7890625,1.5598959,.53125,1.0729166,2.9065156,,1.0807291,
Thyolo,62020,3,2,4.362068965517241,,3.0517242,1.2413793,1.4482758,1.3965517,1.6206896,.75862068,1.0285715,,,1.3275862,1.4210526
Thyolo,72020,103.73684,2,4.436363636363637,,3.1454546,1.2909091,1.5272727,1.3636364,1.7818182,.4909091,1.0555556,,,1.5,1
Thyolo,82020,108.03658,2,4.622641509433962,,3.2264152,1.3207548,1.4528302,1.4339622,1.754717,.47169811,1.0769231,,,1.1666666,2
Mulanje,2017,3,1.9583334,4.3828125,1.2942709,1.5871314,1.8411459,1.828125,1.7838541,1.6979166,.84635419,1.1770834,2.7705479,1.2473959,1.2395834,
Mulanje,2019,3,2,4.3125,1.4320652,1.5670391,1.8097826,1.7961956,1.7472826,1.5625,.52173913,1.0896739,3.1441176,,1.076087,
Mulanje,62020,3,1.9795918,4.857142857142857,,4.6530614,1.2916666,1.4285715,1.4693878,1.6530613,.73469388,1.0526316,,,1.3061224,1.5333333
Mulanje,72020,104.0625,1.9565217,4.934782608695652,,4.7391305,1.3043479,1.5217391,1.4565217,1.673913,.5,1.05,,,1.4,1
Mulanje,82020,110.8,1.9534883,5.162790697674419,,4.9534883,1.3023256,1.4418604,1.3953488,1.7906977,.55813956,1.0487804,,,1.4,2
Phalombe,2017,3,2,4.390052356020942,1.578534,1.3131868,1.9450262,1.9397906,1.9057592,1.7905759,.90837699,1.0471205,3.4402986,1.1387434,1.2984294,
Phalombe,2019,3,2,4.465909090909091,1.6534091,1.518732,1.8409091,1.8522727,1.8238636,1.6420455,.54261363,1.0710227,3.4548192,,1.0568181,
Phalombe,62020,3,1.8666667,5.933333333333334,,3,1.4,1.4666667,1.5333333,1.6666666,.80000001,1.25,,,1.2666667,1.75
Phalombe,72020,102,1.8,6.066666666666666,,3,1.5333333,1.4666667,1.6,1.6,.60000002,1.25,,,2,1
Phalombe,82020,111.65854,1.8461539,6.307692307692307,,2.6923077,1.5384616,1.6923077,1.5384616,1.8461539,.46153846,1.25,,,1,
Chikwawa,2017,3,1.9583334,4.346354166666667,2.2083333,1.52,1.9192709,1.8932291,1.8723959,1.7994791,.859375,1.1640625,3.1722054,1.0989584,1.1380209,
Chikwawa,2019,3,1.9545455,4.414772727272728,1.7357955,1.6916168,1.8664773,1.8380681,1.8238636,1.5880681,.85795456,1.1420455,3.2391305,,1.0852273,
Chikwawa,62020,3,1.9375,6.3125,,2.21875,1.3125,1.375,1.34375,1.65625,.78125,1.2173913,,,1.25,1.75
Chikwawa,72020,105.19355,2,6.586206896551724,,2.2413793,1.2068965,1.3448275,1.2413793,1.7241379,.62068963,1.25,,,1,
Chikwawa,82020,104.10638,2,6.451612903225806,,2.2580645,1.3225807,1.2903225,1.2903225,1.6774193,.64516127,1.2222222,,,1,
Nsanje,2017,3,1.9166666,4.299479166666667,2.6015625,1.6942858,1.9192709,1.9166666,1.8541666,1.7864584,.875,1.1484375,3.1940298,1.0572916,1.1276041,
Nsanje,2019,3,1.9090909,4.261363636363637,1.5482955,1.8726708,1.8039773,1.8039773,1.7727273,1.5397727,.78125,1.25,3.2757576,,1.0625,
Nsanje,62020,3,2,6.111111111111111,,4.1111112,1.2222222,1.4444444,1.4444444,1.6666666,.77777779,1,,,1.1111112,1
Nsanje,72020,102,2,6.222222222222222,,4.1111112,1.3333334,1.2222222,1.4444444,1.7777778,.44444445,1,,,,
Nsanje,82020,102,2,6.222222222222222,,4.1111112,1.5555556,1.5555556,1.5555556,1.6666666,.33333334,1,,,1,
Balaka,2017,3,1.9166666,4.1640625,1.828125,1.6219178,1.8880209,1.78125,1.8515625,1.4869791,.95052081,1.1354166,3.226804,1.1380209,1.2421875,
Balaka,2019,3,1.9155313,4.277929155313352,1.8637602,1.7765363,1.8692098,1.8419619,1.8555858,1.5558583,.76021796,1.1362398,3.3193548,,1.1553134,
Balaka,62020,3,1.9655173,4.96551724137931,,2.2586207,1.3103448,1.4827586,1.4482758,1.7068965,.7241379,1.0185186,,,1.4137931,1.6666666
Balaka,72020,103.73684,1.8727273,5.163636363636364,,2.2909091,1.3454546,1.6181818,1.5636364,1.8181819,.43636364,1.0344827,,,1,
Balaka,82020,108.03658,1.8867924,5.075471698113208,,2.3207548,1.264151,1.509434,1.5849056,1.8867924,.43396226,1.0181818,,,1.25,2
Neno,2017,3,2,4.446808510638298,1.2340425,1.6256831,1.8005319,1.7845745,1.7367021,1.5079787,.75531918,1.0904255,3.0474577,1.2207447,1.2154255,
Neno,2019,3,2,4.332288401253918,1.8181819,1.875,1.7931035,1.7617555,1.7460815,1.3761755,.75548589,1.1159874,2.8807948,,1.0532916,
Neno,62020,3,2,4.285714285714286,,3.5714285,1.4285715,1.8571428,1.4285715,2,.71428573,1,,,1.7142857,1.8
Neno,72020,102,2,4.142857142857143,,3.5714285,1.2857143,1.4285715,1.2857143,2,.2857143,1,,,,
Neno,82020,102,2,4.285714285714286,,3.5714285,1,1.7142857,1.8571428,2,.5714286,1,,,,
Zomba City,2017,3,1,4.252604166666667,1.2109375,3.1096606,1.5613577,1.515625,1.5416666,1.3098959,.875,1.5859375,2.0672514,1.5234375,1.109375,
Zomba City,2019,3,1,4.378378378378378,1.2792792,3.4174175,1.4984984,1.5015016,1.4804804,1.2672672,.51351351,1.6396396,2.0427632,,1.087087,
Zomba City,62020,3,1.0681819,4.806818181818182,,3.2613637,1.3295455,1.4090909,1.4204545,1.7727273,.81818181,1.4871795,,,1.2272727,1.5
Zomba City,72020,102.37643,1.1609195,4.839080459770115,,3.2643678,1.3793104,1.5172414,1.4712644,1.8390805,.47126436,1.4938271,,,1.3333334,2
Zomba City,82020,104.30232,1.1647059,4.858823529411764,,3.2705882,1.4352942,1.5411764,1.5529412,1.8588235,.40000001,1.4642857,,,1.25,1
Blantyre City,2017,3,1,3.973958333333333,.57291669,3.160105,1.3854166,1.4088541,1.3776041,1.2838541,.5703125,1.8958334,1.7253731,1.7135416,1.1276041,
Blantyre City,2019,3,1,4.022662889518414,.71590906,3.1757925,1.6107955,1.5170455,1.5852273,1.25,.35977337,1.8725213,2.0335367,,1.0708215,
Blantyre City,62020,3,1.0659341,4.637362637362638,,3.6593406,1.5054945,1.5604396,1.6263736,1.8681319,.62637365,1.5280899,,,1.3406594,1.5806452
Blantyre City,72020,103.1,1.0681819,4.727272727272728,,3.6136363,1.5227273,1.5909091,1.5681819,1.8295455,.28409091,1.5326087,,,1.4,1
Blantyre City,82020,104.22472,1.0681819,4.795454545454546,,3.6363637,1.5568181,1.5795455,1.6136364,1.8409091,.35227272,1.5274725,,,1.6666666,1.75
